adaptorId; datestamp; temperature; humidity; temperature_corrected; humidity_corrected; temperature_real; humidity_real
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:11:45.000+02:00;48.7;13.0;20.8;61.9;13.8;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:16:47.000+02:00;48.9;13.0;20.9;62.1;13.9;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:21:47.000+02:00;48.8;13.0;20.9;62.2;13.9;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:26:49.000+02:00;48.9;13.0;20.9;62.2;14;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:31:49.000+02:00;48.9;13.0;20.9;62.2;14;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:36:50.000+02:00;49.0;12.0;21.1;62.6;14;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:41:50.000+02:00;49.1;12.0;21.1;62.6;14;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:46:53.000+02:00;49.0;12.0;21.1;62.6;14.1;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:51:53.000+02:00;49.1;12.0;21.1;62.6;14.1;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:56:53.000+02:00;49.2;12.0;21.1;62.6;14.1;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:01:53.000+02:00;49.1;12.0;21.1;62.6;14.1;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:06:54.000+02:00;49.2;12.0;21.0;62.5;14.2;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:11:54.000+02:00;49.3;12.0;21.0;62.4;14.2;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:16:55.000+02:00;49.2;12.0;21.0;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:21:55.000+02:00;49.4;12.0;21.1;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:26:56.000+02:00;49.3;12.0;21.1;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:31:56.000+02:00;49.4;12.0;21.1;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:36:57.000+02:00;49.4;12.0;21.1;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:41:57.000+02:00;49.3;12.0;21.1;62.5;14.3;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T20:51:58.000+02:00;42.8;12.0;20.5;61.6;14.4;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:01:59.000+02:00;36.0;14.0;20.4;62.2;14.4;44
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:12:01.000+02:00;32.7;15.0;20.4;62.5;14.4;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:22:05.000+02:00;31.3;16.0;20.6;62.7;14.4;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:32:06.000+02:00;30.7;17.0;20.8;62.8;14.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:42:07.000+02:00;30.5;17.0;21.2;63.1;14.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:52:08.000+02:00;30.2;17.0;21.3;63.2;14.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T21:57:09.000+02:00;30.4;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:02:13.000+02:00;30.2;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:07:15.000+02:00;30.3;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:12:19.000+02:00;30.3;18.0;21.1;62.9;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:17:18.000+02:00;30.3;18.0;21.2;63.2;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:22:22.000+02:00;30.3;18.0;21.2;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:25:52.000+02:00;30.4;18.0;21.2;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:35:58.000+02:00;30.3;18.0;21.1;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:41:00.000+02:00;30.3;18.0;21.1;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:46:01.000+02:00;30.4;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:51:02.000+02:00;30.4;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T22:56:03.000+02:00;30.3;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:01:03.000+02:00;30.3;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:06:04.000+02:00;30.2;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:11:05.000+02:00;30.3;18.0;21.1;63.0;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:16:06.000+02:00;30.4;18.0;21.2;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:21:07.000+02:00;30.4;18.0;21.2;63.1;14.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:26:07.000+02:00;30.3;18.0;21.2;63.2;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:31:08.000+02:00;30.3;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:36:09.000+02:00;30.2;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:41:11.000+02:00;30.4;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:46:12.000+02:00;30.4;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:51:14.000+02:00;30.3;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T23:56:14.000+02:00;30.4;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:01:16.000+02:00;30.3;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:06:16.000+02:00;30.3;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:11:17.000+02:00;30.3;18.0;21.1;63.0;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:16:17.000+02:00;30.4;18.0;21.2;63.2;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:21:18.000+02:00;30.4;18.0;21.2;63.2;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:26:19.000+02:00;30.5;18.0;21.2;63.2;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:31:18.000+02:00;30.4;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:36:19.000+02:00;30.4;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:41:20.000+02:00;30.4;18.0;21.2;63.1;14.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-16T00:51:22.000+02:00;30.3;19.0;21.0;62.9;14.7;45
